Subject,posterior_alpha,posterior_beta,frontal_theta,frontal_theta_beta_ratio,global_alpha,global_beta,IAF,aperiodic_exponent,n_bad_channels,n_epochs_total,n_epochs_kept,flag_low_epochs,qc_flag,processing_failed,error
19011,-19.71085782538794,-23.316234889182038,-21.995951253490208,1.9570663756464022,-20.516671506830782,-23.70803695621592,10.0,1.7228263514242705,1.0,722.0,691.0,False,False,,
19014,-22.30977438605607,-23.211162575416434,-22.025527783772674,1.8589940186866514,-22.661629189038102,-23.595754030575474,7.0,1.5486565721120682,1.0,589.0,370.0,False,False,,
19015,-21.644720494924165,-23.079165243817677,-20.12824855574596,2.90485908795711,-21.911792922516035,-23.215004930098274,10.5,1.5092394769618513,0.0,1135.0,159.0,False,False,,
19016,-20.65454073951259,-23.23503324622083,-21.65355544617607,1.945823191219354,-21.081422188980483,-23.41594276944114,9.5,1.812838169892162,2.0,589.0,544.0,False,False,,
19018,-20.813331424481134,-23.202004474552957,-21.91680598324179,2.032088301835298,-21.356059096907224,-23.390163410347093,10.0,1.1355121241132424,1.0,589.0,575.0,False,False,,
19019,-21.06671509810838,-23.09693570032583,-21.555299642881728,1.7907777567734442,-21.448602174242357,-23.1492657213805,10.0,1.466239357160114,1.0,589.0,577.0,False,False,,
19021,-21.11407696721804,-23.4487731824512,-21.7622502744803,1.318638452864949,-21.527761994386836,-23.351752225997505,10.0,1.446238934315378,1.0,589.0,561.0,False,False,,
19022,-22.578884614103718,-24.19161315402385,-21.79596508932032,2.4757052351125672,-22.638925119532377,-24.108967698149467,7.0,1.6043714937676137,1.0,589.0,567.0,False,False,,
19024,-18.923582066963714,-21.75257437394941,-21.06488644609953,1.1108810848781836,-19.41456095108853,-21.9369477542904,10.5,1.286788052978649,0.0,589.0,543.0,False,False,,
19025,-21.610834348670313,-21.87178847992674,-21.776230626197183,1.559886388367076,-22.218574479689675,-22.652223327938948,12.5,0.8359919716404206,0.0,589.0,532.0,False,False,,
19026,-22.305964003894985,-24.047251277029762,-21.279583679969846,2.9446662920974944,-22.67938795815119,-24.081693488170547,7.0,1.8033894151425962,2.0,589.0,359.0,False,False,,
19027,-22.163352965876538,-23.52639491331282,-21.877556254147194,2.178470356732472,-22.62307762042287,-23.749195072658047,7.0,1.6282343588354786,1.0,589.0,576.0,False,False,,
19029,,,,,,,,,,,,,,True,epochs._get_data() can't run because this Epochs-object is empty. You might want to check Epochs.drop_log or Epochs.plot_drop_log() to see why epochs were dropped.
19032,-21.528442319995822,-23.619839170535077,-21.860909820464638,2.4434542561720427,-21.88389587851358,-23.662437150882944,9.0,1.4902477824683833,0.0,589.0,413.0,False,False,,
19033,-21.12112453635556,-23.080186560690077,-21.57257034893202,1.7899987303859284,-21.47770496433798,-23.08947525194943,8.5,1.4094427580367255,3.0,589.0,573.0,False,False,,
19034,-18.46130393634702,-22.216678267386182,-20.086821384067377,2.7449468308566836,-19.275592341805975,-22.737389616165636,9.0,2.301222251465981,1.0,589.0,567.0,False,False,,
19035,-21.72613236017156,-22.74648675550417,-22.03440966236129,1.2827193630404459,-22.213973781421164,-22.804690669007144,11.5,0.8368622620528149,1.0,589.0,561.0,False,False,,
19036,-21.15075351453376,-22.877890580046042,-22.11739058031665,1.2509789792701227,-21.634415853636096,-23.201153555186757,11.5,1.6049731452727594,2.0,589.0,572.0,False,False,,
19037,-21.898739681429415,-23.09789976617039,-21.495086679924885,1.0803036929528318,-22.27650717829308,-22.992493018826682,7.0,1.4249572398239785,1.0,589.0,472.0,False,False,,
19038,-21.542213020228917,-23.162001352690215,-21.000693208580273,2.317704452412247,-21.6799284470345,-23.059549283472148,7.0,1.7546792550074284,1.0,589.0,196.0,False,False,,
19039,-22.170033517681645,-23.381166000604892,-21.62582692834055,2.2202648101079063,-22.597779496959024,-23.70808244517801,12.0,1.6182184772086945,1.0,589.0,580.0,False,False,,
19043,-18.764576553152693,-22.396826859662497,-20.599857254640888,2.164616703755353,-19.396599894714786,-22.37886200896017,9.0,1.3695410089196494,1.0,589.0,580.0,False,False,,
19044,-21.864653488725878,-23.135585241019783,-21.713248776004598,1.4743307149524547,-22.096734051374405,-23.12531873213437,10.0,1.2695814631069293,0.0,589.0,519.0,False,False,,
19046,-19.393488492224364,-23.018632469016953,-21.43324947531791,2.4583608877704606,-20.226102699114307,-23.235822060106646,9.0,1.5959543472636923,0.0,589.0,562.0,False,False,,
19048,-21.30366724283041,-23.715870198800484,-21.76790164033531,1.865958237653146,-21.596511088509146,-23.61766789739332,10.5,1.7677110478532765,0.0,589.0,537.0,False,False,,
19050,-21.434669930836982,-23.080073771184736,-21.418830436120775,1.8607709471938847,-21.749149148765945,-23.132085778576453,8.5,1.4811413556314463,0.0,589.0,529.0,False,False,,
19051,-20.478042555289903,-23.211517034696694,-21.56094408300694,1.340538291398822,-20.96849577805746,-23.19998398650144,9.5,1.5662081907314995,0.0,589.0,577.0,False,False,,
19053,-20.872960462496277,-23.333685352083474,-21.120114488852483,2.618432793639375,-21.67679670067313,-23.444246729494864,10.5,1.8462231534714333,0.0,589.0,397.0,False,False,,
19054,-20.34403340377739,-23.554631212254616,-22.337417425927566,1.6859478491366389,-21.019536671061815,-23.691016823825642,10.0,1.4037383738886149,0.0,589.0,558.0,False,False,,
19055,-19.40537784911981,-23.040274036527975,-21.523840907266433,2.466326507689182,-20.347745039712475,-23.575186389775457,9.5,1.9338811257556874,1.0,589.0,557.0,False,False,,
19056,-20.12404869462738,-23.112257458037647,-21.293192982647348,2.03305680764986,-20.642189820643157,-23.169781611066256,9.5,1.8548620966706255,0.0,589.0,572.0,False,False,,
19057,-19.074290216101925,-22.848999122953387,-21.26529000464805,2.771512336607991,-19.908162355476353,-23.328708739921087,9.5,1.8094859136089683,1.0,589.0,570.0,False,False,,
19059,-21.309327446243977,-23.05249694095273,-22.17541261284013,1.207361265254736,-21.699184061924353,-23.11863507480202,10.5,1.244434317659923,1.0,589.0,588.0,False,False,,
19060,-21.230700203593365,-22.9777690926356,-22.175005146236185,1.536189936538598,-21.856171611144568,-23.223780476362318,11.0,1.2684647989520086,1.0,589.0,557.0,False,False,,
19061,-20.87425470032033,-23.44871671973264,-21.879375406932304,2.1699124749887204,-21.23570375534176,-23.636221163535907,10.0,1.8042278816359456,1.0,589.0,540.0,False,False,,
19062,-22.236542440427144,-23.498823065038504,-21.679872126997317,1.7754260335330159,-22.780308565609964,-23.733386327001213,12.0,1.3155746336854666,0.0,589.0,577.0,False,False,,
19064,-22.93833472518157,-24.14520887255172,-22.811465776985766,-0.4857013968640267,-22.699692835009067,-22.946414159424343,7.0,0.5439073081385771,1.0,589.0,379.0,False,False,,
19066,-20.347712213022344,-22.924334778161356,-21.726035355789392,1.6845539451838363,-21.01547073639673,-23.146354116507627,9.0,1.323616840034159,3.0,589.0,540.0,False,False,,
19067,-22.200142561465757,-23.77666379559373,-22.1007265095051,2.0369088079521305,-22.184134938462996,-23.151468591918835,7.0,1.4666443901648594,1.0,589.0,222.0,False,False,,
19068,-22.518701840702523,-23.412978305696562,-21.836711124084808,1.6778352600149766,-22.60576308279896,-23.520322503391597,7.0,1.5215403220682593,1.0,589.0,553.0,False,False,,
19069,-20.80185479612918,-22.526547659556844,-21.727689601809242,1.442354889099196,-21.515866753575224,-23.047005952995057,11.5,1.6387298261379113,1.0,589.0,543.0,False,False,,
19070,-22.221530757983878,-23.470101783249692,-22.029157580445144,1.9278096044798083,-22.419658739200756,-23.444143639381835,11.0,1.1969407291647531,1.0,589.0,557.0,False,False,,
19073,-21.464503376118728,-23.42940838148522,-21.02676945693355,1.7691280579747897,-21.640313857595412,-23.106747505182224,9.5,1.7357687783457925,1.0,1188.0,771.0,False,False,,
19074,-21.147280904803207,-23.93919548605749,-19.737342482420726,4.096234466779169,-21.705541516930317,-23.81812297261817,10.0,1.960309036422238,2.0,589.0,24.0,True,True,,
19075,-22.73049597839598,-24.57583873846589,-22.2529652751377,2.193525582920728,-23.034715890332173,-24.066755109698907,9.5,1.3396297130083195,1.0,589.0,571.0,False,False,,
19076,-20.45393779178134,-22.98561662331113,-20.860196798483237,2.4614282333862114,-20.994134491246466,-23.21965681554188,8.0,2.2196535970211104,1.0,589.0,498.0,False,False,,
19077,-20.960222905220547,-23.009728687147774,-21.731311256067627,1.5083326352676032,-21.44348574931686,-23.07429455802643,9.5,1.3696671119781723,1.0,589.0,562.0,False,False,,
19079,-22.641732267172216,-23.58907631874661,-22.4196252761075,1.6111711374834847,-23.050850549988777,-23.60796453338723,7.0,0.9986271337916692,1.0,589.0,498.0,False,False,,
19080,-21.844411684550806,-22.821152298416376,-21.59579001826603,1.7529816729161745,-21.82057170046546,-22.706714716189563,7.0,1.4563033240614225,0.0,589.0,553.0,False,False,,
19082,-21.365060412873152,-23.1628050649497,-21.016996230023032,2.242594783340685,-21.556465948938918,-23.281263803889054,8.5,1.712830920312604,1.0,589.0,498.0,False,False,,
19083,,,,,,,,,,,,,,True,epochs._get_data() can't run because this Epochs-object is empty. You might want to check Epochs.drop_log or Epochs.plot_drop_log() to see why epochs were dropped.
19084,-20.990695386080255,-23.169303618452528,-21.363395458782712,2.0307287326467645,-21.532920988947062,-23.244827405681864,9.5,1.6424226596974854,2.0,589.0,536.0,False,False,,
19088,-21.364690369719217,-22.89256061806824,-22.037194065342664,0.25495412386025507,-21.672840727152114,-22.55863993226638,11.0,0.8605087978830376,6.0,589.0,486.0,False,False,,
19089,-20.488029168377665,-23.723114102057824,-21.32774583720234,2.660008265986548,-20.96803588946614,-23.50733162569032,10.0,1.4821630002312598,0.0,1197.0,1017.0,False,False,,
19090,-22.46983941950637,-24.040252045883175,-21.989023013625857,2.361008036970045,-22.955946028799065,-24.269502342105497,7.0,1.6084576172694862,1.0,589.0,547.0,False,False,,
19091,-20.133297875230554,-23.04807684934166,-21.73051321203857,1.751947177741961,-20.513242782068268,-23.189182905917182,10.0,1.7310668828090385,1.0,589.0,564.0,False,False,,
19092,-22.217410951080744,-23.58356125268063,-21.75600388252942,2.226742644387219,-22.56677386319218,-23.706655670430166,7.0,1.9243630153112778,10.0,589.0,264.0,False,False,,
19094,-21.187857523012937,-23.031091573746327,-21.688258046175555,1.7828983022228755,-21.79989428291356,-23.3428563934826,11.0,1.536407385142749,0.0,589.0,551.0,False,False,,
19095,-19.656359169246855,-22.692787041474258,-21.547727762951958,1.7663893781529296,-20.47775291579087,-23.039280531458875,9.0,1.5077676866583265,0.0,589.0,314.0,False,False,,
19096,-20.48685844694149,-22.862996988188456,-21.54456968735385,1.8233098521186335,-20.966904552099837,-23.24770893326806,11.0,1.6535026140057976,0.0,589.0,547.0,False,False,,
19097,-21.54606664647809,-22.978685721063872,-21.733650352506245,2.033894165894253,-21.75837393160435,-23.10691691167307,10.5,1.5655654697445356,0.0,589.0,549.0,False,False,,
19098,-22.28193701039436,-23.466463239069355,-23.016673571132117,0.6063873813908174,-22.57899019826774,-23.35737681062173,10.5,0.8387909316341017,2.0,589.0,584.0,False,False,,
19100,-20.791026060138446,-22.81446005328122,-21.738482980502294,1.421962020560123,-21.39126365411438,-23.046930635370042,9.0,1.6064991180671297,0.0,589.0,525.0,False,False,,
19101,-20.015203984004497,-22.262483789440775,-20.513527678966824,2.411033347880892,-20.5548161844666,-22.41903125233151,11.0,1.366904164071426,1.0,589.0,542.0,False,False,,
19102,-21.780886991468346,-23.921465881286952,-22.713912494431998,1.4913086733653245,-22.346984963918864,-24.030576809789775,11.5,1.4356131620628538,1.0,589.0,557.0,False,False,,
19103,-20.511534249825278,-22.183699034258815,-21.931428769186212,0.9562911671166638,-21.208120717799133,-22.664662035272304,12.0,1.4655518634858358,1.0,589.0,577.0,False,False,,
19106,-20.111787775673047,-22.525199588076795,-21.775238655743635,1.440752335191121,-20.444572044238583,-22.795935470989512,11.0,1.4606693617460584,1.0,589.0,576.0,False,False,,
19107,-22.511456663440736,-24.059009968751454,-21.893911172003847,2.524209930729306,-22.960144209995665,-24.185229956678597,7.0,1.6418766118499695,1.0,589.0,574.0,False,False,,
19108,-19.19082283315001,-22.740254579036243,-21.19772017591825,1.7927846128134028,-19.841661743124742,-22.957132634741775,9.5,1.8363032099114023,0.0,589.0,520.0,False,False,,
19109,-19.5576543159705,-22.480893858740693,-21.669114246096452,1.7974489276670909,-20.19649044398105,-22.946119000108002,10.5,1.9024678539652058,2.0,589.0,517.0,False,False,,
19110,-20.221115653028555,-22.97709716646033,-22.02171849708986,1.5158523581318768,-21.009820235265202,-23.38601230753945,11.0,1.5953039795626747,2.0,589.0,573.0,False,False,,
19111,-21.315423502275543,-23.188180089867046,-22.443259964400013,1.9098370475983124,-22.331416457022364,-24.054952212975408,10.5,1.2243614049586447,0.0,589.0,586.0,False,False,,
19112,-19.40173731914618,-23.09837167391778,-21.371558000150554,2.4786385161811175,-20.203657990413472,-23.401631794744194,9.5,1.684443976852056,0.0,589.0,578.0,False,False,,
19113,-21.667277594495125,-23.7978847811396,-21.597381550638815,2.312181553017627,-22.5992449643192,-23.96246275966919,7.0,1.61992693211586,0.0,589.0,151.0,False,False,,
19115,-19.876715326050974,-23.286945853877164,-21.226269904160038,2.637917653310712,-20.34512762289335,-23.40805268558778,9.0,1.75528592022783,0.0,589.0,569.0,False,False,,
19118,-20.159422260809137,-23.709814610089676,-21.192068549133964,2.782748191021053,-20.694297758066273,-23.844419038218394,9.5,2.2207717605148587,1.0,589.0,588.0,False,False,,
19119,-19.71038380796994,-22.750873071433737,-21.128692235275334,1.7519237427003027,-20.297941046546477,-22.74136686174755,9.5,1.4036337489891482,2.0,589.0,488.0,False,False,,
19120,-21.327414610303872,-23.729481107962002,-22.829788420541657,1.369208731826145,-21.593313359645133,-23.81262153983736,11.0,1.5559177322026063,0.0,589.0,580.0,False,False,,
19121,-21.374444996127295,-23.6180876410596,-21.111770383853116,2.970228033021254,-21.832350626279275,-23.62844393305929,8.5,2.0947550662597405,1.0,589.0,575.0,False,False,,
19123,-19.875576451915126,-23.027799035461463,-21.143811198490816,2.3726504517415634,-20.809044744265705,-23.432033038517698,10.0,1.8488454048677117,1.0,589.0,524.0,False,False,,
19126,-21.916933299349417,-23.432572276593035,-22.05547929406368,2.090047173461425,-22.487092881716432,-23.660606910262146,12.0,1.2066745288603982,0.0,589.0,564.0,False,False,,
19127,-20.03110868492531,-23.39633064185167,-21.449425487978598,1.976975670646837,-20.499289316649172,-23.40669644823277,9.5,1.658245059975701,0.0,589.0,530.0,False,False,,
19128,-19.90576837380215,-22.94927944321907,-21.435453158929896,1.6010840461327192,-20.08183001455871,-23.018852067776685,10.0,1.7600142905559482,2.0,589.0,554.0,False,False,,
19131,-21.278299856965894,-22.143817198862425,-21.239093880276396,1.156860612948261,-21.832304684026518,-22.637046392948747,11.0,1.1836409831735522,2.0,589.0,538.0,False,False,,
19132,-19.1580364259512,-22.572012935382222,-20.73592133656127,2.2246671021092617,-19.47944852776758,-22.697872173773213,9.0,2.075256761387913,1.0,589.0,549.0,False,False,,
19133,-20.721378166646545,-23.247328996038966,-21.85720609485276,2.135672530210744,-21.29762611222996,-23.554202529327096,10.5,1.696986652006661,2.0,589.0,569.0,False,False,,
19134,-22.64504081301965,-23.676961510721274,-22.063768068763736,1.5207264113199237,-22.742859993413315,-23.666057962287024,7.0,1.4474235346222777,1.0,589.0,546.0,False,False,,
19135,-22.52228940778149,-24.178649883724855,-21.47094889838479,2.15495825473759,-22.376579139325017,-23.874002217460706,7.0,1.6835899667117573,1.0,589.0,383.0,False,False,,
19136,-21.007697017458195,-23.133009375973582,-22.322375166393996,1.1931319676159902,-21.582001522175624,-23.324385960026074,10.5,1.523709714656332,5.0,589.0,542.0,False,False,,
19139,-20.258592326254647,-23.706127890358605,-22.020212343168822,2.288111895969916,-20.81574147305853,-24.058054319302748,9.5,2.055392970434184,1.0,589.0,543.0,False,False,,
19142,-19.59568169123045,-22.520453016359742,-21.172639008967334,1.6433037730067213,-20.232851661126915,-22.70185542045571,10.0,1.7255532553464814,1.0,589.0,582.0,False,False,,
19143,-21.888533301864573,-23.31533201896944,-21.933969288336314,1.7823871631859838,-22.192856192187083,-23.606388185504635,9.0,1.3433531975840214,1.0,589.0,586.0,False,False,,
19146,-22.46328869304169,-24.25358732767438,-22.18778888294059,2.0629050468453265,-22.935007126951618,-24.23409083864793,7.0,1.631812145287828,1.0,589.0,548.0,False,False,,
19147,-20.64306976727943,-23.11395530783161,-21.451366605256677,1.9050879552372812,-20.960848469620007,-23.212877956081027,10.5,1.903742331560802,2.0,589.0,479.0,False,False,,
19148,-19.024204110076354,-22.38884223512393,-21.359645197932664,1.1932237256498226,-19.843468640566687,-22.54648309758864,9.5,1.6469417891241689,1.0,589.0,584.0,False,False,,
19149,-21.32112010745796,-23.154130883922168,-21.930689578802678,1.5175383713160677,-21.863632705936762,-23.393566499527093,11.0,1.6199557974704852,1.0,589.0,584.0,False,False,,
19150,-21.557170795435457,-23.670585958954963,-21.015490166153675,1.702371005390038,-21.74969615167146,-23.106552306572894,9.5,1.353083041416421,1.0,589.0,527.0,False,False,,
19152,-21.189607319138485,-23.215129850238945,-21.789666059199273,1.5526558131799497,-21.561540430742262,-23.251629391830022,10.0,1.6519012303252973,0.0,589.0,567.0,False,False,,
19153,-21.43568102142306,-23.402274300646155,-21.69838056152544,2.1207621700934247,-21.809476466103586,-23.60509192216196,11.0,1.6737983497247526,2.0,589.0,541.0,False,False,,
19154,-21.632319947818694,-23.178286468910354,-22.196222775233384,1.17200568742458,-22.005588101672963,-23.12276684360181,10.0,1.0488355446575035,0.0,589.0,548.0,False,False,,
